"image_path","caption"
"Images/1000268201_693b08cb0e.jpg","A child in a pink dress is climbing up a set of stairs in an entry way ."
"Images/1000268201_693b08cb0e.jpg","A girl going into a wooden building ."
"Images/1000268201_693b08cb0e.jpg","A little girl climbing into a wooden playhouse ."
"Images/1000268201_693b08cb0e.jpg","A little girl climbing the stairs to her playhouse ."
"Images/1000268201_693b08cb0e.jpg","A little girl in a pink dress going into a wooden cabin ."
"Images/1001773457_577c3a7d70.jpg","A black dog and a spotted dog are fighting"
"Images/1001773457_577c3a7d70.jpg","A black dog and a tri-colored dog playing with each other on the road ."
"Images/1001773457_577c3a7d70.jpg","A black dog and a white dog with brown spots are staring at each other in the street ."
"Images/1001773457_577c3a7d70.jpg","Two dogs of different breeds looking at each other on the road ."
"Images/1001773457_577c3a7d70.jpg","Two dogs on pavement moving toward each other ."
"Images/1002674143_1b742ab4b8.jpg","A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl ."
"Images/1002674143_1b742ab4b8.jpg","A little girl is sitting in front of a large painted rainbow ."
"Images/1002674143_1b742ab4b8.jpg","A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it ."
"Images/1002674143_1b742ab4b8.jpg","There is a girl with pigtails sitting in front of a rainbow painting ."
"Images/1002674143_1b742ab4b8.jpg","Young girl with pigtails painting outside in the grass ."
"Images/1003163366_44323f5815.jpg","A man lays on a bench while his dog sits by him ."
"Images/1003163366_44323f5815.jpg","A man lays on the bench to which a white dog is also tied ."
"Images/1003163366_44323f5815.jpg","a man sleeping on a bench outside with a white and black dog sitting next to him ."
"Images/1003163366_44323f5815.jpg","A shirtless man lies on a park bench with his dog ."
"Images/1003163366_44323f5815.jpg","man laying on bench holding leash of dog sitting on ground"
"Images/1007129816_e794419615.jpg","A man in an orange hat starring at something ."
"Images/1007129816_e794419615.jpg","A man wears an orange hat and glasses ."
"Images/1007129816_e794419615.jpg","A man with gauges and glasses is wearing a Blitz hat ."
"Images/1007129816_e794419615.jpg","A man with glasses is wearing a beer can crocheted hat ."
"Images/1007129816_e794419615.jpg","The man with pierced ears is wearing glasses and an orange hat ."
"Images/1007320043_627395c3d8.jpg","A child playing on a rope net ."
"Images/1007320043_627395c3d8.jpg","A little girl climbing on red roping ."
"Images/1007320043_627395c3d8.jpg","A little girl in pink climbs a rope bridge at the park ."
"Images/1007320043_627395c3d8.jpg","A small child grips onto the red ropes at the playground ."
"Images/1007320043_627395c3d8.jpg","The small child climbs on a red ropes on a playground ."
"Images/1009434119_febe49276a.jpg","A black and white dog is running in a grassy garden surrounded by a white fence ."
"Images/1009434119_febe49276a.jpg","A black and white dog is running through the grass ."
"Images/1009434119_febe49276a.jpg","A Boston terrier is running in the grass ."
"Images/1009434119_febe49276a.jpg","A Boston Terrier is running on lush green grass in front of a white fence ."
"Images/1009434119_febe49276a.jpg","A dog runs on the green grass near a wooden fence ."
"Images/1012212859_01547e3f17.jpg","A dog shakes its head near the shore , a red ball next to it ."
"Images/1012212859_01547e3f17.jpg","A white dog shakes on the edge of a beach with an orange ball ."
"Images/1012212859_01547e3f17.jpg","Dog with orange ball at feet , stands on shore shaking off water"
"Images/1012212859_01547e3f17.jpg","White dog playing with a red ball on the shore near the water ."
"Images/1012212859_01547e3f17.jpg","White dog with brown ears standing near water with head turned to one side ."
"Images/1015118661_980735411b.jpg","A boy smiles in front of a stony wall in a city ."
"Images/1015118661_980735411b.jpg","A little boy is standing on the street while a man in overalls is working on a stone wall ."
"Images/1015118661_980735411b.jpg","A young boy runs aross the street ."
"Images/1015118661_980735411b.jpg","A young child is walking on a stone paved street with a metal pole and a man behind him ."
"Images/1015118661_980735411b.jpg","Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him ."
"Images/1015584366_dfcec3c85a.jpg","A black dog leaps over a log ."
"Images/1015584366_dfcec3c85a.jpg","A grey dog is leaping over a fallen tree ."
"Images/1015584366_dfcec3c85a.jpg","A large black dog leaps a fallen log ."
"Images/1015584366_dfcec3c85a.jpg","A mottled black and grey dog in a blue collar jumping over a fallen tree ."
"Images/1015584366_dfcec3c85a.jpg","The black dog jumped the tree stump ."
"Images/101654506_8eb26cfb60.jpg","A brown and white dog is running through the snow ."
"Images/101654506_8eb26cfb60.jpg","A dog is running in the snow"
"Images/101654506_8eb26cfb60.jpg","A dog running through snow ."
"Images/101654506_8eb26cfb60.jpg","a white and brown dog is running through a snow covered field ."
"Images/101654506_8eb26cfb60.jpg","The white and brown dog is running over the surface of the snow ."
"Images/101669240_b2d3e7f17b.jpg","A man in a hat is displaying pictures next to a skier in a blue hat ."
"Images/101669240_b2d3e7f17b.jpg","A man skis past another man displaying paintings in the snow ."
"Images/101669240_b2d3e7f17b.jpg","A person wearing skis looking at framed pictures set up in the snow ."
"Images/101669240_b2d3e7f17b.jpg","A skier looks at framed pictures in the snow next to trees ."
"Images/101669240_b2d3e7f17b.jpg","Man on skis looking at artwork for sale in the snow"
"Images/1016887272_03199f49c4.jpg","A collage of one person climbing a cliff ."
"Images/1016887272_03199f49c4.jpg","A group of people are rock climbing on a rock climbing wall ."
"Images/1016887272_03199f49c4.jpg","A group of people climbing a rock while one man belays"
"Images/1016887272_03199f49c4.jpg","Seven climbers are ascending a rock face whilst another man stands holding the rope ."
"Images/1016887272_03199f49c4.jpg","Several climbers in a row are climbing the rock while the man in red watches and holds the line ."
"Images/1019077836_6fc9b15408.jpg","A brown dog chases the water from a sprinkler on a lawn ."
"Images/1019077836_6fc9b15408.jpg","a brown dog plays with the hose ."
"Images/1019077836_6fc9b15408.jpg","A brown dog running on a lawn near a garden hose"
"Images/1019077836_6fc9b15408.jpg","A dog is playing with a hose ."
"Images/1019077836_6fc9b15408.jpg","Large brown dog running away from the sprinkler in the grass ."
"Images/1019604187_d087bf9a5f.jpg","A dog prepares to catch a thrown object in a field with nearby cars ."
"Images/1019604187_d087bf9a5f.jpg","A white dog is about to catch a yellow ball in its mouth ."
"Images/1019604187_d087bf9a5f.jpg","A white dog is about to catch a yellow dog toy ."
"Images/1019604187_d087bf9a5f.jpg","A white dog is ready to catch a yellow ball flying through the air ."
"Images/1019604187_d087bf9a5f.jpg","A white dog running after a yellow ball"
"Images/1020651753_06077ec457.jpg","a black and white dog jumping in the air to get a toy ."
"Images/1020651753_06077ec457.jpg","A black and white dog jumps up towards a yellow toy ."
"Images/1020651753_06077ec457.jpg","A dog leaps to catch a ball in a field ."
"Images/1020651753_06077ec457.jpg","A white dog is trying to catch a ball in midair over a grassy field ."
"Images/1020651753_06077ec457.jpg","The white dog is playing in a green field with a yellow toy ."
"Images/1022454332_6af2c1449a.jpg","A child and a woman are at waters edge in a big city ."
"Images/1022454332_6af2c1449a.jpg","a large lake with a lone duck swimming in it with several people around the edge of it ."
"Images/1022454332_6af2c1449a.jpg","A little boy at a lake watching a duck ."
"Images/1022454332_6af2c1449a.jpg","A young boy waves his hand at the duck in the water surrounded by a green park ."
"Images/1022454332_6af2c1449a.jpg","Two people are at the edge of a lake , facing the water and the city skyline ."
"Images/1022454428_b6b660a67b.jpg","A couple and an infant , being held by the male , sitting next to a pond with a near by stroller ."
"Images/1022454428_b6b660a67b.jpg","A couple sit on the grass with a baby and stroller ."
"Images/1022454428_b6b660a67b.jpg","A couple with their newborn baby sitting under a tree facing a lake ."
"Images/1022454428_b6b660a67b.jpg","A man and woman care for an infant along the side of a body of water ."
"Images/1022454428_b6b660a67b.jpg","Couple with a baby sit outdoors next to their stroller ."
"Images/102351840_323e3de834.jpg","A man drilling a hole in the ice ."
"Images/102351840_323e3de834.jpg","A man is drilling through the frozen ice of a pond ."
"Images/102351840_323e3de834.jpg","A person in the snow drilling a hole in the ice ."
"Images/102351840_323e3de834.jpg","A person standing on a frozen lake ."
"Images/102351840_323e3de834.jpg","Two men are ice fishing ."
"Images/1024138940_f1fefbdce1.jpg","Two different breeds of brown and white dogs play on the beach ."
"Images/1024138940_f1fefbdce1.jpg","Two dogs are making a turn on a soft sand beach ."
"Images/1024138940_f1fefbdce1.jpg","Two dogs playing in the sand at the beach ."
"Images/1024138940_f1fefbdce1.jpg","Two dogs playing together on a beach ."
"Images/1024138940_f1fefbdce1.jpg","Two large tan dogs play along a sandy beach ."
"Images/102455176_5f8ead62d5.jpg","A man uses ice picks and crampons to scale ice ."
"Images/102455176_5f8ead62d5.jpg","an ice climber in a blue jacket and black pants is scaling a frozen ice wall ."
"Images/102455176_5f8ead62d5.jpg","An ice climber scaling a frozen waterfall ."
"Images/102455176_5f8ead62d5.jpg","A person in blue and red ice climbing with two picks ."
"Images/102455176_5f8ead62d5.jpg","Climber climbing an ice wall"
"Images/1026685415_0431cbf574.jpg","A black dog carries a green toy in his mouth as he walks through the grass ."
"Images/1026685415_0431cbf574.jpg","A black dog carrying something through the grass ."
"Images/1026685415_0431cbf574.jpg","A black dog has a blue toy in its mouth ."
"Images/1026685415_0431cbf574.jpg","A dog in grass with a blue item in his mouth ."
"Images/1026685415_0431cbf574.jpg","A wet black dog is carrying a green toy through the grass ."
"Images/1028205764_7e8df9a2ea.jpg","A man and a baby are in a yellow kayak on water ."
"Images/1028205764_7e8df9a2ea.jpg","A man and a little boy in blue life jackets are rowing a yellow canoe ."
"Images/1028205764_7e8df9a2ea.jpg","A man and child kayak through gentle waters ."
"Images/1028205764_7e8df9a2ea.jpg","A man and young boy ride in a yellow kayak ."
"Images/1028205764_7e8df9a2ea.jpg","Man and child in yellow kayak"
"Images/103106960_e8a41d64f8.jpg","A boy with a stick kneeling in front of a goalie net"
"Images/103106960_e8a41d64f8.jpg","A child in a red jacket playing street hockey guarding a goal ."
"Images/103106960_e8a41d64f8.jpg","A young kid playing the goalie in a hockey rink ."
"Images/103106960_e8a41d64f8.jpg","A young male kneeling in front of a hockey goal with a hockey stick in his right hand ."
"Images/103106960_e8a41d64f8.jpg","Hockey goalie boy in red jacket crouches by goal , with stick ."
"Images/103195344_5d2dc613a3.jpg","A man in black is sitting next to a modern art structure in front of a glass building ."
"Images/103195344_5d2dc613a3.jpg","A man sits and reads a newspaper by a sculpture outside of an office building ."
"Images/103195344_5d2dc613a3.jpg","a man sits near a large statue ."
"Images/103195344_5d2dc613a3.jpg","A man sitting in front of a metal sculpture in front of a building ."
"Images/103195344_5d2dc613a3.jpg","The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading ."
"Images/103205630_682ca7285b.jpg","A tent is being set up on the ice ."
"Images/103205630_682ca7285b.jpg","Two men are about to enter an ice fishing tent on a snow covered lake ."
"Images/103205630_682ca7285b.jpg","two men setting up a blue ice fishing hut on an iced over lake"
"Images/103205630_682ca7285b.jpg","Two men , standing on an ice , looking into something covered with a blue tarp ."
"Images/103205630_682ca7285b.jpg","Two people standing outside a blue tent structure on a snowy surface ."
"Images/1032122270_ea6f0beedb.jpg","A woman crouches near three dogs in a field ."
"Images/1032122270_ea6f0beedb.jpg","Three dogs are playing on grassy hill with a blue sky ."
"Images/1032122270_ea6f0beedb.jpg","Three dogs are standing in the grass and a person is sitting next to them"
"Images/1032122270_ea6f0beedb.jpg","Three dogs on a grassy hill"
"Images/1032122270_ea6f0beedb.jpg","Three dogs stand in a grassy field while a person kneels nearby ."
"Images/1034276567_49bb87c51c.jpg","A boy bites hard into a treat while he sits outside ."
"Images/1034276567_49bb87c51c.jpg","A child biting into a baked good ."
"Images/1034276567_49bb87c51c.jpg","A small boy putting something in his mouth with both hands ."
"Images/1034276567_49bb87c51c.jpg","The boy eats his food outside at the table ."
"Images/1034276567_49bb87c51c.jpg","The boy is eating pizza over a tin dish ."
"Images/104136873_5b5d41be75.jpg","People sit on the mountainside and check out the view ."
"Images/104136873_5b5d41be75.jpg","Three people are on a hilltop overlooking a green valley ."
"Images/104136873_5b5d41be75.jpg","Three people hang out on top of a big hill ."
"Images/104136873_5b5d41be75.jpg","Three people overlook a green valley ."
"Images/104136873_5b5d41be75.jpg","Three people rest on a ledge above the moutains ."
"Images/1042020065_fb3d3ba5ba.jpg","A boy in a green shirt is looking down at many inflatable boats ."
"Images/1042020065_fb3d3ba5ba.jpg","A boy in a green shirt watches kayakers ."
"Images/1042020065_fb3d3ba5ba.jpg","A boy looks over a railing at the many boats and rafts below in the water ."
"Images/1042020065_fb3d3ba5ba.jpg","A young boy overlooking a crowd of inflatable boats ."
"Images/1042020065_fb3d3ba5ba.jpg","A young boy wearing a jersey looks down over a ledge at many boats in the water ."
"Images/1042590306_95dea0916c.jpg","A man and woman pose for the camera while another man looks on ."
"Images/1042590306_95dea0916c.jpg","A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on ."
"Images/1042590306_95dea0916c.jpg","A multiracial couple posing for a picture"
"Images/1042590306_95dea0916c.jpg","Asian man and blond woman holding hands outdoors , man in background watches ."
"Images/1042590306_95dea0916c.jpg","Guy in blue shirt biting hand of girl in black striped jacket while another guy watches"
"Images/1045521051_108ebc19be.jpg","A person eats takeout while watching a small television ."
"Images/1045521051_108ebc19be.jpg","A person sits on the floor and eats in front of a television ."
"Images/1045521051_108ebc19be.jpg","A television with a picture of a girl on it ."
"Images/1045521051_108ebc19be.jpg","A young man sits on the floor by the television with a fast food meal in front of him ."
"Images/1045521051_108ebc19be.jpg","Someone is laying in front of the TV eating food ."
"Images/1048710776_bb5b0a5c7c.jpg","a couple of several people sitting on a ledge overlooking the beach"
"Images/1048710776_bb5b0a5c7c.jpg","A group of people sit on a wall at the beach ."
"Images/1048710776_bb5b0a5c7c.jpg","A group of teens sit on a wall by a beach ."
